# http://edd.ifa.hawaii.edu/
# http://edd.ifa.hawaii.edu/dfirst.php
"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"
pgc|Dist|Glon|Glat|Vhel|Name
%7s|%6.2f|%8.4f|%8.4f|%5d|%10s
---|Mpc|deg|deg|km/s|
"The Catalogue of Principal Galaxies (PGC) Number"|"Luminosity distance (weighted average if more than one source)"|"Galactic longitude"|"Galactic latitude"|"Heliocentric velocity"|"Common name"
3181|199.53|129.1678|-84.5180|17370|-04-03-025
3184|80.54|123.6087|-32.5225|6783|P0003184
3190|167.49|302.3736|-54.6697|10623|ESO079-008
3211|103.75|301.7416|-65.8624|7300|ESO195-014
3218|73.45|123.6587|-26.1022|6061|UGC00549
3222|72.11|123.7695|-31.5003|4513|UGC00557
3235|107.65|123.8226|-33.6191|4633|UGC00556
3238|1.98|299.2078|-79.4187|165|NGC0300
3239|67.92|123.4554|-10.3881|5164|UGC00552
3252|85.51|128.9589|-81.8355|6369|AGC020649
3260|55.46|123.8516|-31.3228|5464|NGC00296
3272|152.76|125.1523|-64.1319|13469|PGC003272
3273|174.58|125.0876|-63.9319|14304|GCG384-029
3274|51.52|123.9069|-31.1876|5645|UGC00565
3285|86.70|123.9818|-32.4650|6678|P0003285
3332|70.15|124.1203|-31.7864|4658|UGC00575
3342|152.05|125.6968|-64.1013|13343|UGC00579
3365|150.66|125.7879|-64.1065|11479|UGC00583
3397|194.09|125.3789|-55.5159|11681|UGC00586
3400|154.17|126.0806|-64.0498|14987|UGC00587
3401|85.11|299.8309|-71.6826|7911|IC1603
3409|248.89|124.9692|-47.9408|14889|UGC00590
3417|152.76|126.2084|-63.5041|13572|PGC003417
3435|48.08|126.9911|-67.8259|5661|AGC400516
3440|57.54|125.1810|-47.7764|5464|AGC100686
3444|152.76|126.4644|-64.2218|13523|UGC00595
3454|103.75|127.1502|-67.9318|5489|NGC0325
3462|80.91|127.2361|-67.9479|5482|NGC0327
3466|61.94|124.6033|-32.1453|4722|P0003466
3467|90.36|127.2942|-67.8872|5269|NGC0329
3482|136.14|124.8444|-35.9797|14157|NGC0326
3484|138.04|294.6028|-80.3559|10378|ESO351-025
3503|120.23|124.2591|-17.8481|5220|UGC00604
3508|175.39|125.7106|-50.0840|11660|UGC00607
3513|107.15|125.7344|-49.8586|12073|UGC00610
3514|104.23|292.1974|-81.8575|9212|NGC0334
3526|28.58|134.9900|-81.4376|2000|AGC020704
3550|135.52|125.1187|-35.7785|13738|IC0064
3554|44.46|292.7390|-80.7817|3474|ES351-028
3559|34.83|124.8005|-27.2818|2357|UGC00614
3561|107.15|126.0156|-49.8366|12091|PGC003561
3563|79.80|125.8696|-47.4938|5526|UGC00615
3569|192.31|125.9645|-48.0989|12223|UGC00619
3572|18.88|129.1303|-70.3486|1649|AGC400534
3586|124.17|136.6566|-81.2653|6273|ESO541-008
3589|0.08|287.5359|-83.1567|109|ESO351-030
3603|39.08|124.4947|-14.8491|2717|UGC00622
3606|85.11|125.2381|-32.0337|4827|IC000066
3611|78.34|125.2609|-32.1613|4797|UGC00624
3635|31.19|124.5866|-15.1593|2619|UGC00625
3636|196.79|126.5048|-49.3372|11788|UGC00627
3643|91.62|126.8732|-53.0734|6044|UGC00631
3664|87.10|125.4056|-31.3163|5596|UGC00633
3667|26.30|127.2641|-55.1618|2214|UGC00634
3672|116.95|300.5635|-57.3402|8431|ESO113-006
3688|59.70|128.0461|-59.6871|4372|UGC00637
3697|136.14|125.8608|-35.8592|14453|UGC00638
3700|84.33|125.5561|-30.3653|4281|PGC003700
3714|54.95|129.3557|-64.6937|4101|UGC00641
3735|78.34|130.8743|-69.1083|5775|PGC003735
3738|80.17|129.4702|-64.2010|5877|PGC003738
3743|30.76|301.0396|-51.4762|2310|NGC000360
