# http://edd.ifa.hawaii.edu/
# http://edd.ifa.hawaii.edu/dfirst.php
"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"|"Cosmicflows-2 Distances"
pgc|Dist|Glon|Glat|Vhel|Name
%7s|%6.2f|%8.4f|%8.4f|%5d|%10s
---|Mpc|deg|deg|km/s|
"The Catalogue of Principal Galaxies (PGC) Number"|"Luminosity distance (weighted average if more than one source)"|"Galactic longitude"|"Galactic latitude"|"Heliocentric velocity"|"Common name"
46124|102.80|36.1830|84.6643|6482|UGC08328
46126|13.61|309.9702|38.5593|1390|AGC029403
46127|4.41|111.4913|69.0907|265|UGC8331
46153|9.04|105.9971|74.2877|500|UGC08334
46159|21.88|17.1455|84.2625|941|UGC08333
46171|93.76|90.8149|80.4951|6945|UGC08338
46173|120.23|326.8930|75.1172|9097|AGC230208
46180|66.99|69.6277|83.3754|5593|UGC08337
46218|99.54|315.6397|60.1583|5664|UGC08340
46246|25.59|310.1728|37.1754|1909|ES508-034
46247|18.20|311.7254|45.7995|1741|AGC530083
46254|85.90|315.8009|59.9687|5784|IC4218
46261|36.81|311.8441|46.1746|2631|AGC530085
46278|81.28|320.3323|68.0324|6231|NGC5060
46293|67.30|69.3292|83.0638|5551|UGC08356
46301|20.32|308.6997|25.2966|1874|ES382-031
46303|124.17|309.0806|28.2044|8488|ESO382-032
46304|33.88|309.3850|30.4407|2314|IC004214
46330|25.23|310.2511|35.6557|2031|NGC5061
46373|22.59|311.3352|41.1292|1949|AGC029453
46386|18.37|104.0275|74.1610|1265|UGC08365
46388|160.69|327.7990|73.9325|11042|AGC230233
46398|99.08|310.8321|37.7532|9661|ESO508-041
46409|46.56|307.7012|14.7073|2984|NGC005064
46427|109.14|47.2190|83.7234|6658|UGC08366
46441|30.20|312.9369|47.4843|2745|AGC530097
46446|98.17|308.8404|23.3976|8258|ESO324-005
46449|102.80|331.8248|75.8520|6701|AGC230239
46452|27.29|309.3907|27.4184|1749|ES382-041
46473|31.19|313.5740|49.5894|2240|NGC5079
46477|61.38|61.4128|83.0683|2142|NGC05089
46491|13.24|311.5422|40.1173|1628|ES576-032
46502|28.44|307.9438|15.3122|2845|ES269-085
46521|13.06|309.4338|26.4631|1459|ES382-045
46534|193.20|322.5155|68.1023|11974|UGC08379
46535|19.14|313.8685|49.6853|1431|AGC530112
46547|79.80|311.8678|40.8580|6937|ESO576-036
46549|129.42|310.2372|31.5512|8945|ES444-010
46551|33.73|311.0346|36.3298|2128|ESO508-051
46558|125.89|312.5079|43.7334|11972|ESO576-038
46568|74.13|312.6714|44.2828|5105|ESO576-039
46574|23.01|311.8445|40.3133|2085|AGC029511
46604|187.93|115.6112|58.1566|15826|PGC046604
46617|53.46|66.9081|82.3213|5079|UGC08392
46619|131.22|309.7288|26.9561|7795|ESO382-048
46633|75.16|319.1906|62.2651|5561|NGC05104
46640|141.91|318.0162|59.8426|10390|PGC046640
46641|206.06|329.8505|73.6194|11384|AGC230269
46644|214.78|329.6790|73.4765|11468|UGC08395
46647|79.07|67.3628|82.1715|4870|UGC08397
46658|112.20|333.4977|75.3638|7012|AGC230275
46663|3.96|308.5425|17.4785|741|KK196
46664|31.92|314.2422|48.9967|2903|AGC530120
46671|16.07|96.0653|76.7586|969|UGC08403
46674|3.74|309.7315|25.8384|467|NGC5102
46680|3.84|308.9218|19.9810|0|KK197
46744|44.06|33.5210|82.9887|2889|UGC08410
46746|38.90|44.4228|82.9293|2392|UGC08411
46753|42.46|6.5046|81.9027|2812|UGC08409
46754|84.33|333.7056|74.9031|7305|UGC08408
46768|28.44|311.7466|36.0267|2263|AGC029560
46779|112.72|311.8241|36.2103|9426|IC4232
46783|98.63|333.8005|74.6885|7245|PGC046783
46786|60.81|311.1335|32.2464|4267|AGC029565
46794|161.44|311.7445|35.4540|12880|ESO508-064
46800|86.70|313.3975|43.1774|7342|ESO576-045
46814|136.14|311.8263|35.5769|9802|PGC046814
46816|91.62|334.0229|74.6133|6428|AGC008417
46827|97.27|328.2748|70.9617|6931|NGC5125
46839|95.50|312.4915|38.3860|7544|ESO508-067
46842|82.79|328.3246|70.9021|7223|AGC230302
46851|67.61|65.3837|81.6936|4977|UGC08426
46865|125.31|341.8521|77.3979|7238|UGC08429
46872|206.06|62.8764|81.8394|14518|IC4239
46878|47.64|313.1917|41.0746|2667|AGC029585
46885|4.76|311.2571|31.3633|490|KK200
46888|107.15|311.9155|34.7746|10473|ESO508-069
46889|14.32|313.5713|42.4877|1969|ES576-050
46897|245.47|312.1538|35.8830|14264|ESO508-070
46913|162.18|312.1479|35.6125|15256|PGC046913
46920|92.47|312.7055|38.2241|7378|AGC029599
46926|47.42|313.6965|42.3980|5213|AGC029603
46928|103.75|310.9402|28.6905|7640|ESO382-058
46938|6.49|313.4261|41.0469|1772|NGC5134
46943|160.69|312.6016|37.2618|11748|ESO508-073
46955|200.45|332.1783|72.7323|11829|AGC230320
46957|3.66|309.5177|19.4181|552|NGC5128
46959|134.28|312.7237|37.5697|9951|ESO508-075
46960|17.95|310.4020|24.9976|1434|NGC5121A
46965|176.20|312.1975|34.9263|10844|ESO508-076
46968|210.86|312.2037|34.9094|13322|ESO508-077
46973|147.23|311.7963|32.7364|10040|ESO444-031
46983|94.19|312.3734|35.4888|10161|PGC046983
47002|35.65|311.4130|30.1715|2422|ESO444-033
47017|116.41|312.4473|35.4023|10036|PGC047017
47065|161.44|312.4224|34.5876|10840|ESO509-007
47071|117.49|312.4731|34.7777|10519|ESO509-008
47072|85.51|316.6831|50.7139|6081|PGC047072
47073|5.18|311.9023|31.8936|420|IC4247
47086|145.88|311.7309|30.8708|15174|XJ13264975
47093|87.50|68.3936|80.7863|5276|UGC08451
47102|31.92|312.0255|32.1664|1897|ES444-037
47110|111.69|312.5567|34.7701|10179|PGC047110
47125|103.28|312.3365|33.4791|9466|ESO444-040
47151|12.94|310.6884|24.1505|1440|ES324-023
47153|88.72|357.6694|79.6669|5971|UGC08457
47154|222.84|311.8947|30.8534|14289|PGC047154
47162|143.88|339.8951|75.4000|7116|UGC08456
47166|173.78|311.8862|30.6928|12861|PGC047166
47171|3.78|310.1785|20.8836|514|ESO324-24
47173|150.66|311.9048|30.7003|14313|PGC047173
47177|162.93|311.8823|30.4423|13228|PGC047177
47179|209.89|311.9519|30.7804|13584|PGC047179
47197|215.77|311.9697|30.6923|15454|PGC047197
47201|178.65|313.1245|36.2918|10682|ES509-019
47202|147.23|311.9859|30.7337|14068|ESO444-046
47235|80.54|324.5520|64.2975|6316|UGC08460
47237|229.09|312.9412|34.9463|12501|XJ13281864
47243|84.33|317.0843|50.0707|5979|AGC530226
47254|98.63|59.6285|81.1133|7302|UGC08466
47255|60.81|312.0306|30.3591|4390|ES444-047
47270|37.50|105.1234|68.8969|2704|UGC08470
47271|157.04|312.8861|34.3284|9000|PGC047271
47273|231.21|312.1853|30.8553|15648|PGC047273
47276|70.79|311.0358|24.7125|6172|ES383-002
47293|187.93|312.1837|30.6234|15656|PGC047293
47299|255.86|312.2209|30.7065|15940|PGC047299
47321|20.99|311.9737|29.0336|2389|AGC029708
47330|60.81|345.8748|76.6502|4028|NGC5172
47332|155.60|312.3186|30.6397|15181|PGC047332
47343|165.20|313.2746|35.1193|10601|PGC047343
47345|61.66|311.8031|27.9458|3609|ES383-005
47346|102.33|333.7520|71.5686|6833|UGC08475
47355|172.98|312.3463|30.6243|15430|PGC047355
47368|4.76|113.5018|58.0038|200|UGC08490
47378|95.94|332.4524|70.5771|6443|AGC230371
47394|24.10|315.6550|43.9561|1502|AGC029724
47413|7.31|104.8827|68.4883|472|N5195
47415|90.78|334.1987|71.5666|6751|UGC08486
47422|125.31|338.1757|73.5868|7377|UGC08488
47425|35.97|115.3552|54.0450|1765|UGC08501
47438|65.46|322.4284|59.7336|3989|NGC5184
47448|46.99|318.4542|51.6435|4193|AGC530258
47452|43.25|313.3113|34.1591|3466|AGC029737
47474|76.21|313.7687|35.7902|4475|IC0004267
47495|2.64|111.1420|61.3082|59|UGC8508
47505|111.69|314.9539|40.0996|7287|ESO577-001
47514|70.47|316.9477|46.6890|4232|AGC530277
47534|121.90|334.6465|71.0965|6302|AGC230389
47541|153.46|312.0892|27.0728|10988|ESO383-008
47549|26.92|312.1792|27.3568|2429|NGC005188
47582|35.32|312.5881|28.8782|3734|N5193
47599|49.66|315.0090|38.9632|5052|AGC029792
47600|104.23|314.5274|37.0933|7737|ESO509-044
47612|119.12|340.6844|73.6958|7651|UGC08518
47636|34.04|304.7124|-17.7021|2288|ESO021-003
47670|188.80|314.1801|34.9743|11969|ESO509-052
47680|67.61|322.8238|58.1810|4272|AGC530314
47734|103.75|334.2529|69.8071|7125|AGC230418
47750|50.35|326.0482|62.2733|5289|UGC08534
47762|3.21|310.1846|14.1241|582|NGC5206
47809|96.83|83.7319|76.4675|5525|UGC08554
47826|13.93|334.0595|69.0131|1229|AGC230436
47832|50.12|304.2991|-20.3727|4478|ESO008-001
47847|4.15|310.8299|16.6589|828|ES270-017
47853|4.51|107.4055|64.1905|229|NGC5238
47854|45.71|114.2278|54.3980|3093|UGC08571
47855|92.90|334.8349|69.4820|7069|UGC08555
47881|75.51|312.8983|26.7567|4380|ES383-027
47882|100.00|314.8627|35.1069|6759|ESO509-068
47903|41.11|305.3456|-14.9752|2657|ES040-012
47907|95.50|313.1880|27.7901|7100|ESO383-031
47913|95.94|313.2038|27.8336|7208|ESO383-032
47935|119.12|69.3100|78.5575|7463|UGC08580
47948|35.65|315.7239|37.6963|2589|AGC029872
47966|211.84|342.2324|72.8079|12641|AGC230456
47971|43.45|77.4220|77.2987|2233|UGC08587
47984|89.54|332.2212|66.8870|6578|NGC5235
47985|30.20|105.3973|65.6224|1611|UGC08593
47996|131.22|82.2656|76.2845|7570|UGC08590
48015|110.66|68.6805|78.4549|7476|IC4306
48026|112.20|334.4673|68.2552|6966|PGC048026
48029|5.42|314.6115|32.6121|572|ESO444-78
48036|100.00|315.3066|35.2308|6720|IC4298
48038|176.20|317.6922|43.1703|11852|ESO577-012
48082|4.66|314.5834|31.9730|508|NGC5236
48084|51.52|60.7175|79.0554|3004|UGC08608
48093|27.80|311.4739|16.2317|2517|NGC005219
48125|42.27|313.9454|28.8788|3776|ES383-044
48130|13.00|335.9312|68.7501|1151|UGC08616
48139|3.33|311.8781|19.2207|360|NGC5237
48161|65.16|314.5561|30.8880|4079|ES444-086
48175|31.62|312.5829|22.1555|2530|ES324-044
48183|140.60|356.3090|76.1378|8019|UGC08624
48190|252.35|339.9008|70.6841|17019|AGC230495
48228|200.45|342.2572|71.6250|10789|AGC230503
48237|81.28|317.2472|39.7434|5758|ESO577-017
48251|94.19|347.0467|73.4048|7060|UGC08633
48264|134.28|316.6449|37.4330|9411|ESO509-089
48275|100.93|343.1581|71.7502|6827|AGC230516
48280|4.29|23.2737|78.9860|274|UGC8638
48289|133.66|314.1310|27.6390|7690|ESO383-055
48291|32.36|99.3222|68.8482|2428|UGC08642
48300|116.41|317.2887|39.0280|7001|ESO577-020
48306|148.59|314.4772|28.8963|12114|ESO383-056
48307|30.06|321.3478|49.6468|2312|AGC530342
48323|66.68|317.4224|39.2037|5760|ES577-022
48332|3.12|89.7338|73.1168|202|UGC8651
48334|3.55|314.8603|30.1060|408|NGC5253
48346|59.43|316.5390|36.1095|5140|IC0004315
48368|4.35|315.6600|32.7670|578|IC4316
48392|35.32|107.9154|61.3368|2022|UGC08658
48394|95.94|323.5614|53.1361|6486|AGC530350
48425|51.52|115.8145|48.7642|2699|NGC5283
48430|171.40|344.3980|71.5191|14215|AGC230553
48435|275.42|346.4756|72.2890|13589|PGC048435
48453|105.20|346.7242|72.3310|7165|UGC08660
48467|4.45|315.7164|31.7104|478|NGC5264
48494|126.47|317.5789|37.8272|11235|ESO509-094
48504|88.31|357.8848|75.3017|5496|UGC08668
48515|3.68|312.2149|16.7516|0|KK211
48521|16.60|74.3499|76.2455|1084|N5273
48533|69.18|315.5723|30.5846|4379|ES445-015
48534|25.35|112.0673|55.2663|2193|UGC08684
48536|134.28|49.5776|78.4861|13309|NGC5274
48540|172.19|349.2478|72.8475|12717|AGC230591
48544|133.66|49.4619|78.4892|12577|NGC5275
48572|134.28|48.7996|78.4210|13171|PGC048572
48580|124.17|49.5743|78.3680|10879|NGC5280
48614|133.66|50.4486|78.2259|12130|NGC5282
48624|127.06|314.0801|23.5651|10159|ESO325-004
48629|48.98|315.4115|28.6857|4096|ES383-067
48679|149.28|347.1393|71.3426|12303|AGC230620
48690|45.29|71.6437|76.1020|2439|UGC08693
48738|3.40|313.5057|19.9095|546|ESO325-11
48749|46.34|88.9095|71.8923|2526|NGC005289
48759|172.19|18.5007|77.2538|8980|AGC231473
48765|135.52|314.4435|23.4918|11206|ESO325-013
48767|34.36|89.2756|71.7142|2583|UGC08700
48770|73.11|316.6141|31.4173|4403|PGC048770
48777|133.05|99.6381|66.6893|8421|UGC08702
48783|96.38|72.6018|75.6873|7080|PGC048783
48795|145.88|13.6691|76.6746|8153|UGC008701
48803|154.88|341.4256|67.9737|10812|AGC230636
48806|113.24|13.0783|76.5100|8199|UGC08703
48816|21.58|96.7006|68.1210|1507|UGC08711
48817|143.22|314.7261|23.6388|11362|ESO325-016
48830|90.78|316.6567|30.5193|5194|AGC030065
48831|90.78|9.3471|75.9483|6938|UGC08705
48849|131.22|345.6004|69.7603|10691|AGC230642
48860|26.18|111.2493|54.8770|2014|NGC5308
48862|52.48|65.8151|76.2681|4959|UGC08713
48881|144.54|317.5816|32.9475|11380|IC4330
48888|69.82|317.1544|31.5151|4531|ESO445-028
48894|51.29|316.9937|30.9217|3897|PGC048894
48918|85.11|359.9348|73.9629|7909|UGC08720
48925|27.93|85.4342|72.2812|2330|UGC08726
48953|40.74|115.0369|48.1627|1784|UGC08737
48959|18.45|335.7502|63.1427|1170|UGC08727
48989|30.90|91.2397|70.0253|2333|UGC08733
48991|51.29|317.1847|30.4727|5084|ESO445-040
49017|111.69|327.0891|52.9558|7586|PGC049017
49025|63.39|317.4438|30.9463|4515|IC4329
49028|185.35|316.7384|28.5940|13899|ESO445-047
49034|30.06|312.6699|13.1467|2946|ESO221-002
49044|31.92|110.2793|55.4950|1801|N5322
49050|3.19|315.8418|25.3539|329|ESO383-87
49063|50.12|316.7389|28.2397|4237|ES383-088
49069|51.29|83.4127|72.3610|2562|NGC05313
49081|114.29|27.8061|76.7526|8775|IC4332
49082|112.20|320.3287|38.6118|7353|ESO577-039
49090|62.52|317.5852|30.6208|3775|NGC5304
49112|35.65|86.3659|71.3241|2609|UGC08749
49114|109.65|2.5374|73.7314|7820|UGC08746
49127|114.29|26.9711|76.5638|8783|PGC049127
49128|66.99|314.8664|20.7910|4857|AGC030136
49129|14.66|315.7735|24.1046|1078|ESO383-091
49131|34.20|317.8735|31.1026|5404|ESO445-054
49145|116.95|27.9741|76.5581|9187|UGC08753
49153|127.64|99.6174|65.0400|8094|PGC049153
49158|3.28|77.7935|73.4464|191|UGC8760
49172|90.36|352.0515|70.7197|6162|AGC230750
49187|15.28|316.9255|27.4316|1391|ES384-002
49204|113.24|352.9912|70.8636|7011|UGC08766
49208|62.81|318.0070|30.6138|4539|ESO445-059
49240|114.29|27.6382|76.4638|8803|PGC049240
49241|114.29|27.5913|76.4647|8840|PGC049241
49244|104.71|353.3699|70.7736|6832|IC0946
49245|48.08|318.1330|30.6223|4704|ESO445-062
49265|100.46|17.7949|75.4593|8364|UGC08777
49267|34.36|316.0921|23.8552|1641|ES384-005
49289|114.29|26.5384|76.0496|9069|UGC08788
49297|114.29|27.7436|76.0853|8625|PGC049297
49300|48.31|318.4523|31.0869|4773|ESO445-065
49301|38.19|75.4909|73.4403|2301|UGC08795
49303|58.88|336.1299|61.1141|4354|UGC08787
49304|90.36|318.2208|30.3324|7258|ESO445-066
49315|115.35|12.3689|74.6560|8582|UGC08794
49322|35.65|81.0518|72.1483|2507|UGC08804
49335|79.43|339.2260|63.3961|5070|UGC08796
49337|62.52|77.4039|72.9467|3510|UGC08806
49347|26.30|82.8376|71.5926|2326|UGC08810
49353|12.76|339.6526|63.5680|809|N5338
49357|199.53|348.6598|68.5103|11311|AGC230792
49359|54.20|76.4446|73.0925|3614|NGC05351
49369|155.60|322.0732|40.0411|10475|ESO578-004
49372|108.64|317.4165|27.1656|11101|ESO384-009
49373|62.81|337.6864|61.9725|4671|UGC08808
49384|87.50|319.5170|33.2266|5529|ES510-007
49391|71.45|338.4860|62.4182|4647|UGC08816
49394|73.79|345.7639|66.9141|6854|AGC230801
49411|16.67|340.0274|63.4850|1452|NGC005348
49413|74.13|330.6634|54.6099|4322|PGC049413
49428|203.24|16.0580|74.7309|8353|UGC08828
49433|169.82|355.7973|70.7494|12537|AGC230808
49448|7.24|103.6987|60.7967|141|UGC8837
49452|3.20|69.7156|73.9588|224|UGC8833
49464|27.67|84.4320|70.7438|2169|UGC08835
49468|28.18|340.5252|63.4684|1388|NGC5356
49470|114.29|28.4845|75.6183|8732|IC4343
49483|170.61|317.0430|24.8001|11929|ESO384-011
49489|36.64|108.5593|55.8049|2076|NGC05376
49492|114.82|28.1392|75.5358|9342|IC4344
49507|114.29|28.3168|75.4611|8730|PGC049507
49508|12.88|108.6801|55.5755|1610|NGC005379
49516|23.88|317.9382|27.2675|3764|ESO384-013
49533|80.17|334.2067|57.6364|7389|UGC08844
49534|44.46|319.0967|30.4960|4870|NGC5357
49540|121.90|354.0683|69.6685|6862|IC0959
49553|151.36|26.2939|75.2048|8372|UGC08855
49554|92.90|321.4966|36.7553|11020|ESO510-019
49556|114.29|28.9870|75.3608|8684|PGC049556
49563|24.66|94.9057|66.2096|1798|UGC08863
49579|71.78|348.2104|67.1438|4908|UGC08861
49580|94.19|318.4858|28.2670|4372|AGC030236
49589|111.69|11.4209|73.5402|8254|UGC08862
49607|111.69|349.5710|67.5858|6874|GCG074-012
49615|4.49|317.7324|25.6469|505|ESO384-016
49631|149.97|25.6373|74.9089|8927|UGC08873
49638|68.55|320.1560|32.4648|5512|ES445-083
49657|146.55|31.4568|75.1261|8612|UGC08879
49658|35.81|318.2198|26.6795|4264|ESO384-019
49676|34.36|319.9084|31.3556|2672|IC0004351
49688|100.00|316.2987|20.3095|11032|ESO325-038
49694|143.22|17.1751|73.9395|8450|UGC08889
49720|180.30|316.1536|19.5949|10969|ESO325-039
49721|54.95|357.1944|69.9077|3827|IC000967
49724|71.12|343.0428|63.5985|5215|UGC08891
49728|78.34|319.2009|28.9690|4286|ES445-085
49732|45.50|30.7035|74.9268|2599|AGC230880
49752|93.76|353.5238|68.5716|7253|UGC08897
49758|120.23|338.9426|60.5337|7211|UGC08895
49763|48.08|18.0748|73.8343|2854|UGC08899
49771|138.04|324.2843|40.9935|9361|ESO578-011
49791|57.28|342.7983|63.0249|4196|UGC08906
49799|73.11|64.7936|73.5541|3658|UGC08912
49806|115.35|40.4111|74.8690|10949|UGC08911
49817|52.00|80.4590|70.6348|3760|UGC08917
49831|162.18|323.4778|38.5746|9748|ESO578-013
49836|33.88|314.5854|13.0440|2910|ES221-022
49838|56.75|347.9865|65.6252|4101|UGC08918
49840|58.61|318.8526|26.6978|4424|ESO384-026
49842|81.28|348.5031|65.8677|5793|PGC049842
49855|54.95|318.7134|26.1269|2179|ES384-027
49856|71.78|347.6292|65.3374|4572|PG0049856
49870|93.76|322.1833|35.2220|6301|ESO510-038
49873|157.04|322.9570|36.9757|11021|ESO510-039
49881|44.87|107.3095|55.6474|2961|NGC05430
49882|50.12|339.3453|59.8986|3597|UGC08924
49886|47.42|318.9105|26.4863|3447|ESO384-029
49889|31.92|95.2751|64.7916|2072|NGC05425
49908|72.78|319.0896|26.7285|4146|NGC5397
49913|87.90|346.2131|64.3227|7111|UGC08927
49915|121.34|350.3180|66.3285|6861|AGC230939
49922|60.81|321.9189|34.0834|6317|ESO510-040
49923|6.58|319.4302|27.5571|1219|NGC005398
49952|85.90|349.5077|65.7804|6254|NGC5409
49968|136.14|323.6582|37.6526|11002|ESO578-016
49976|71.45|350.3500|66.0629|4277|NGC5414
49990|123.03|325.3470|41.0174|9013|ESO578-017
49991|79.43|349.6180|65.6747|6238|UGC08944
49993|29.92|103.7984|58.6078|1803|NGC05443
49995|97.27|347.4828|64.5960|4882|UGC08943
49997|41.88|347.0033|64.3096|4560|NGC5418
50006|47.86|349.2116|65.3440|4013|UGC08948
50017|110.66|8.9529|71.5040|7096|UGC08953
50021|70.47|349.4132|65.3827|5862|UGC08950
50028|78.70|349.7408|65.4994|5928|NGC5423
50030|81.66|348.8818|65.0676|5870|UGC08951
50031|32.66|95.7173|64.0122|2020|UGC08969
50035|73.45|349.9190|65.5398|5986|NGC5424
50042|57.28|63.7998|72.8962|3694|NGC_5440
50045|74.13|40.3418|74.1158|4630|UGC08961
50063|6.95|102.0373|59.7712|237|NGC5457
50064|59.70|319.7438|27.1599|4696|ESO384-036
50066|85.11|320.4659|29.0661|7127|ES446-001
50069|35.65|108.1705|54.0293|2077|UGC008988
50073|5.32|317.1559|19.5004|507|NGC5408
50087|78.70|350.2275|65.4895|5642|UGC08967
50089|114.29|346.2637|63.4022|7377|UGC08966
50092|52.00|330.5002|48.8212|3304|AGC540007
50100|54.70|319.6237|26.5416|4156|NGC5419
50110|62.81|320.0796|27.7373|3796|ESO446-002
50112|84.72|350.6125|65.5390|6945|NGC5438
50113|107.65|350.4668|65.4764|7055|NGC5437
50115|107.65|2.4421|69.7082|6908|UGC08978
50117|87.10|1.7085|69.5053|5263|UGC08977
50120|34.83|330.6152|48.7979|3318|AGC540009
50126|142.56|354.8650|67.2240|7239|UGC08983
50129|57.81|322.6038|33.8667|6052|ESO510-054
50130|124.17|346.1364|63.0867|7445|UGC08979
50136|162.93|356.9334|67.9362|7459|AGC240034
50167|157.76|32.4150|73.6161|9926|UGC08998
50168|105.68|60.8767|72.8877|7938|AGC240052
50172|57.02|319.8351|26.4990|3853|PGC050172
50190|116.41|359.6499|68.6298|7212|UGC08996
50194|21.88|349.7720|64.7712|1234|UGC08995
50204|100.93|338.3892|57.1162|7433|UGC08994
50216|6.98|100.8318|60.1946|255|NGC5474
50222|116.95|3.0955|69.4817|6397|UGC09009
50246|17.95|317.3994|18.9666|1790|IC004362
50252|56.49|356.3280|67.2707|4186|AGC240076
50262|6.76|101.5958|59.4899|315|NGC5477
50294|64.57|355.3599|66.7140|4771|AGC240088
50295|56.75|320.1875|26.4337|4444|ESO384-049
50305|177.83|14.7223|71.5227|11125|UGC09019
50307|94.19|323.3388|34.0898|6944|ESO510-063
50318|85.51|357.2690|67.2672|6604|UGC09021
50323|43.65|334.8678|52.6960|2843|NGC5468
50334|20.70|20.5490|72.1870|2322|UGC09024
50341|103.75|351.4775|64.8195|7207|UGC09023
50351|259.42|357.1681|67.0854|18032|UGC09025
50354|114.29|353.7476|65.7412|6865|UGC09027
50358|194.09|115.0190|43.8271|10077|UGC09039
50369|26.67|101.8030|58.9096|1904|N5485
50373|87.50|323.0279|32.7376|7298|ESO510-066
50385|105.68|323.1443|32.8512|6518|IC4374
50398|118.58|352.3799|64.9468|7071|UGC09030
50414|125.31|323.3558|33.0528|7734|ESO510-072
50420|33.73|321.2876|28.0775|4135|AGC030412
50444|174.58|332.7549|49.3087|11124|PGC050444
50450|126.47|359.8087|67.4951|7942|AGC240120
50455|70.47|348.7794|62.8518|5943|UGC09037
50464|83.95|356.4406|66.2990|5732|UGC09041
50471|120.78|320.6335|26.0009|10172|ESO384-060
50474|69.50|322.3929|30.3658|4777|AGC030425
50485|130.62|58.6381|72.1398|10602|UGC09048
50509|27.42|93.6743|63.4282|2015|UGC09056
50518|114.29|323.4341|32.2725|8303|ESO510-075
50544|105.20|353.5865|64.7086|7231|UGC09054
50558|69.18|9.1416|69.5096|4855|NGC5490
50580|57.81|11.2391|69.8880|5087|IC0984
50581|31.77|100.2673|59.3141|1827|UGC09071
50583|128.82|357.3199|66.0881|8386|AGC240142
50586|37.50|92.3468|63.8661|2002|UGC09068
50587|28.05|338.6108|54.7446|1563|UGC09057
50621|98.63|4.0682|68.0509|7841|UGC09067
50630|103.28|348.8306|61.9265|5884|NGC5491
50648|89.13|356.7379|65.5177|7234|AGC240153
50652|92.04|324.9488|34.3985|6535|ESO511-007
50657|60.26|9.5175|69.2157|4741|UGC09078
50665|146.55|319.5547|21.4028|11470|ESO326-007
50675|114.29|322.7568|29.3653|6925|AGC030464
50676|20.04|340.4568|55.7576|1541|UGC09079
50697|154.88|355.3513|64.6845|9781|AGC240161
50709|75.86|352.6678|63.4351|7230|UGC09084
50722|89.13|46.6001|72.0516|4365|UGC09091
50728|42.27|94.7666|62.1219|1876|NGC005520
50733|86.70|324.1878|32.0936|6376|ESO511-011
50752|156.31|358.4606|65.6965|11366|UGC09093
50784|90.36|37.2518|71.8031|5307|UGC09101
50795|111.69|353.6574|63.4526|7201|AGC240183
50798|38.55|317.6944|15.0930|2995|ES271-022
50832|32.51|103.2618|56.0957|2046|UGC09115
50835|131.83|322.4036|27.1243|11666|ESO446-033
50865|98.63|351.8040|62.2362|7451|UGC09111
50889|64.57|5.4417|67.2139|4574|NGC5522
50895|20.99|32.1156|71.2226|1045|UGC09119
50897|73.11|3.3478|66.6070|4977|UGC09117
50905|26.30|318.4584|16.3719|1872|IC0004386
50911|8.87|102.3080|56.5613|324|KKH87
50915|85.51|6.8421|67.4803|5355|UGC09121
50939|64.57|328.1738|38.0512|4625|ES579-009
50951|59.98|326.3623|34.5848|6304|ESO511-016
50961|2.27|25.5739|70.4649|152|UGC9128
50972|101.86|58.0038|70.6339|8517|UGC09132
50973|44.26|62.6258|70.1750|3848|UGC09133
50987|89.54|328.0541|37.3615|6413|ESO579-010
50995|161.44|29.9032|70.6756|11581|UGC09135
51002|70.79|25.5854|70.2636|4611|UGC09138
51024|182.81|62.6060|69.9475|12821|PGC051024
51048|110.66|2.1007|65.3562|7418|AGC240241
51059|60.81|332.6856|43.9524|4641|AGC540063
51061|44.46|323.7852|28.0011|2757|AGC030549
51062|139.96|325.9747|32.5976|7044|ESO511-019
51089|87.90|325.6004|31.6073|7736|ESO511-021
51090|65.16|344.9925|56.5007|7791|UGC09147
51100|149.97|35.7100|70.5973|10870|UGC09157
51106|12.30|319.2646|16.7071|1193|NGC005530
51107|80.54|325.6656|31.6235|6788|ESO511-023
51113|96.83|4.9867|65.9709|7721|UGC09159
51124|155.60|329.8696|39.1200|10946|NGC5555
51128|87.10|359.5172|64.0688|7375|UGC09163
51132|103.75|325.7484|31.5596|7148|ESO511-026
51135|127.64|322.7736|25.1174|9871|ESO385-007
51141|97.27|325.8685|31.7271|6728|ESO511-028
51143|57.02|322.6198|24.6475|3749|AGC030573
51147|91.62|325.8025|31.5623|6597|PGC051147
51188|93.76|325.9222|31.5340|6364|ESO511-032
51210|7.87|100.9968|56.4747|305|NGC05585
51230|130.02|356.1894|62.2116|13183|AGC240270
51232|125.31|0.2383|63.8451|7736|AGC240272
51244|113.24|323.5522|25.9323|7349|ESO385-011
51245|16.07|325.3266|29.7249|1384|NGC005556
51251|28.05|72.7738|67.6291|1436|N5582
51253|45.08|23.4643|69.0631|4649|UGC09182
51264|63.10|28.0043|69.5140|4538|UGC09186
51265|98.17|325.5008|29.8999|7231|AGC030592
51266|145.21|7.2196|65.9275|7956|UGC09185
51270|24.32|348.6433|57.9334|1624|N5574
51275|25.47|348.7298|57.9384|1507|N5576
51285|42.66|61.5970|69.2175|3659|PGC051285
51286|26.42|348.9858|58.0398|1481|NGC5577
51290|32.36|325.4829|29.6441|1380|ESO446-053
51302|234.42|29.0601|69.4607|14992|UGC09195
51303|125.31|351.1442|59.2332|8143|UGC09190
